ComplexID,ComplexName,Subunits_UniProt_IDs
Complex_34,ADIPOQ-PLOD3-GLT25D1 complex_6997,COLGALT1:PLOD3
Complex_35,AJUBA-PRMT5-SNAI1 complex_6932,AJUBA:PRMT5
Complex_36,AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex_7593,AKAP13:MAP2K3:MAP3K20:MAPK14:PKN1
Complex_37,AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex_7593,AKAP13:MAP2K3:MAPK14:PKN1
Complex_38,AP1 adaptor complex_36#Gamma-BAR-AP1 complex_144,AP1B1:AP1G1:AP1G2:AP1M1:AP1S1:AP1S2
Complex_39,AP1B1-AP1G2-AP1M-1AP1S1 complex_7476,AP1B1:AP1G2:AP1M1:AP1S1
Complex_40,AP2 adaptor complex_46,AP2A2:AP2B1:AP2M1:AP2S1
Complex_41,AP3 adaptor complex_59,AP3B1:AP3D1:AP3M1:AP3S1
Complex_42,AP3-BLOC1 complex_652,AP3B1:AP3D1:AP3M1:AP3S1:BLOC1S1:BLOC1S3:BLOC1S4:DTNBP1:SNAPIN
Complex_43,AP3-BLOC1 complex_652,AP3B1:AP3D1:AP3M1:AP3S1:BLOC1S1:BLOC1S3:BLOC1S4:BLOC1S5:DTNBP1:SNAPIN
Complex_44,AP4 adaptor complex_67,AP4B1:AP4E1:AP4M1
Complex_45,APC-IQGAP1-CLIP-170 complex_1845,CLIP1:IQGAP1
Complex_46,APC-IQGAP1-Cdc42 complex_3012,CDC42:IQGAP1
Complex_47,APC-IQGAP1-Rac1 complex_3011,IQGAP1:RAC1
Complex_48,APPBP1-UBA3 complex_2162,NAE1:UBA3
Complex_49,ARC complex_232,ACAD8
Complex_50,ARF-Mule complex_220,CDKN2A:NPM1
Complex_51,ARF1-ARL1-PKD2-ARFIP2 complex_7483,ARFIP2:ARL1
Complex_52,ARHGEF7-GIT2-PAK1 complex_6928,GIT2:PAK1
Complex_53,ARHGEF7-GIT2-PAK1 complex_6928,ARHGEF7:GIT2
Complex_54,ARL2-TBCD complex_6455,ARL2:TBCD
Complex_55,"ARRB1-ARHGEF18-ENAH complex, induce by EDN-1_7408",ARHGEF18:ENAH
Complex_56,ASCOM complex_1400,ASH2L:TUBA4A:TUBB
Complex_57,ASF1-histone containing complex_2236,ASF1A:CHAF1B:CHEK2:NASP
Complex_58,ASF1-interacting protein complex_2235,ASF1A:CHAF1B
Complex_59,ASF1-interacting protein complex_2235,ASF1A:CHAF1A:CHAF1B
Complex_60,ASXL1-HCFC1-OGT complex_7354,HCFC1:OGT
Complex_61,"ATAC complex, GCN5-linked_6657",DR1:WDR5
Complex_62,"ATAC complex, YEATS2-linked_6665",DR1:MAP3K7:POLE3:POLE4:UBAP2L:WDR5
Complex_63,"ATAC complex, YEATS2-linked_6665",DR1:MAP3K7:POLE3:POLE4:WDR5
Complex_64,ATP synthasome_158,MT-ATP8:SLC25A3:SLC25A5
Complex_65,AUP1-OS9-SEL1L-UBC6e-UBXD8 complex_6886,AUP1:FAF2:OS9:SEL1L
Complex_66,AXIN1-APC-CTNNB1-GSK3B complex_3166,CTNNB1:GSK3B
Complex_67,Abl1-Abl2-Crk-Unc119 complex_7257,ABL1
Complex_68,Abl1-Abl2-Crk-Unc119 complex_7257,ABL1:ABL2
Complex_69,Abl1-Dok1-Nck1 complex_5707,ABL1
Complex_70,Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex_6521,FANCD2:FANCI
Complex_71,Alpha-2-M enhanceosome DNA-protein complex_2784,NR3C1:STAT3
Complex_72,"Alpha-GDI-Hsp90 chaperone complex, ATP dependent_5610",GDI1:HSP90AA1:HSPA8
Complex_73,"Alpha-GDI-Hsp90 chaperone complex, ATP dependent_5610",DNAJC5:GDI1:HSP90AA1:HSPA8
Complex_74,Amfr-Vcp-Ngly1 complex_6867,NGLY1:VCP
Complex_75,Amfr-Vcp-Ubxn1 complex_6868,UBXN1:VCP
Complex_76,Amfr-Vcp-Ubxn1-Ngly1-Rad23b complex_6870,NGLY1:RAD23B:UBXN1:VCP
Complex_77,"Anaphase-promoting complex_93#Anaphase-promoting complex_96#Cell division cycle complex (CDC27, CDC16, ANAPC7)_5361",CDC16:CDC27
Complex_78,AnnexinVI-Fyn-Pyk2-RasGAP complex_940,ANXA6
Complex_79,AnnexinVI-Fyn-Pyk2-RasGAP complex_940,ANXA6:RASA1
Complex_80,Anti-HDAC2 complex_632,CHD4:GSE1:GTF2I:HDAC1:HDAC2:HMG20B:KDM1A:MTA1:MTA2:RBBP4:RBBP7:RCOR1:SIN3A:ZMYM2:ZMYM3
Complex_81,Anti-HDAC2 complex_632,CHD3:CHD4:GSE1:GTF2I:HDAC1:HDAC2:HMG20B:KDM1A:MTA1:MTA2:RBBP4:RBBP7:RCOR1:SIN3A:ZMYM2:ZMYM3
Complex_82,Apba1-Cask-Nrxn1-Ppfia1 complex_7244,CASK:PPFIA1
Complex_83,Apg16L-Apg12-Apg5 complex_686,ATG16L1:ATG5
Complex_84,"Aqp4-Dag1-Dmd-Snta1 complex_34#Dystrophin-glycoprotein complex DGC, skeletal muscle_340",DAG1:SNTA1
Complex_85,"Aqp4-Dag1-Dmd-Snta1 complex_34#Dystrophin-glycoprotein complex DGC, skeletal muscle_340",DAG1:DMD:SNTA1
Complex_86,Arl6-Sec61b complex_6687,ARL6:SEC61B
Complex_87,Arp2/3 protein complex_27,ACTR2:ACTR3:ARPC1B:ARPC2:ARPC3:ARPC4:ARPC5
Complex_88,"Arrb1-Becn1-Pik3c3 complex, induced by (OGD) oxygen-glucose deprivation_6812",BECN1:PIK3C3
Complex_89,Axin-GSK-3-beta-beta-catenin complex_1847,CTNNB1:GSK3B
Complex_90,Axin-PP2A A-PP2A C-GSK3-beta-beta-catenin complex_2998,CTNNB1:GSK3B:PPP2R5A
Complex_91,BAG1-HSC70 complex_6114,BAG1:HSPA8
Complex_92,BAG6-AMFR-FAF2 complex_6873,BAG6:FAF2
Complex_93,BAX-BAK-IRE1alpha complex_2845,BAK1:BAX
Complex_94,BAX-DNAJA1-HSPA1B complex_6329,BAX:DNAJA1
Complex_95,BAX-DNAJA2-HSPA1B complex_6330,BAX:DNAJA2
Complex_96,BBS-chaperonin complex_6247,CCT2:CCT3:CCT4:CCT5:CCT8:TCP1
Complex_97,BCOR complex_1178,HSPA8:SKP1
Complex_98,BCOR complex_1178,HSPA8:RING1:SKP1
Complex_99,BICD2-dynein-dynactin complex_6960,BICD2:DCTN1
Complex_100,BIN1-EHBP1-RAB8A complex_7281,BIN1:RAB8A
Complex_101,BLOC-1 (biogenesis of lysosome-related organelles complex 1)_23,BLOC1S1:BLOC1S3:BLOC1S4:DTNBP1:SNAPIN
Complex_102,BLOC-1 (biogenesis of lysosome-related organelles complex 1)_23,BLOC1S1:BLOC1S3:BLOC1S4:BLOC1S5:DTNBP1:SNAPIN
Complex_103,BLOC1-BLOC2 complex_654,BLOC1S1:BLOC1S3:BLOC1S4:DTNBP1:HPS3:HPS6:SNAPIN
Complex_104,BLOC1-BLOC2 complex_654,BLOC1S1:BLOC1S3:BLOC1S4:BLOC1S5:DTNBP1:HPS3:HPS6:SNAPIN
Complex_105,BOLA2-GLRX3 complex_6958,BOLA2:GLRX3
Complex_106,BORC complex_7545,BLOC1S1:BORCS5:BORCS6:BORCS7:SNAPIN
Complex_107,BRAF-MAP2K1-MAP2K2-YWHAE complex_5872,MAP2K1:MAP2K2:YWHAE
Complex_108,BRAFT complex_244#BRAFT complex_248#RPA-MSH4-BLM complex_2221#BLM complex II_2738#RPA complex_5229,RPA1:RPA2:RPA3
Complex_109,BRD4 complex_2600,BRD4:CCNT1:CDK9:MED12:MED24
Complex_110,BRD4 complex_2600,BRD4:CDK9:MED1:MED12:MED17:MED24
Complex_111,BRD4-RFC complex_2203,BRD4:RFC2:RFC3
Complex_112,BRD7-CBP-SWI\u2013SNF complex_7376,PRMT5:SMARCA4:SMARCE1
Complex_113,BRD7-CBP-SWI\u2013SNF complex_7376,BRD7:PHF10:PRMT5:SMARCA2:SMARCA4:SMARCE1
Complex_114,BRD7-SWI\u2013SNF complex_7372,ACTL6A:PRMT5:SMARCA4:SMARCC1:SMARCE1
Complex_115,BRD7-SWI\u2013SNF complex_7372,ACTL6A:ARID1A:BRD7:PHF10:PRMT5:SMARCA2:SMARCA4:SMARCC1:SMARCC2:SMARCD1:SMARCE1
Complex_116,BRD7-SWI\u2013SNF-SUZ12 complex_7373,PRMT7
Complex_117,BRD7-SWI\u2013SNF-SUZ12 complex_7373,BRD7:SMARCA2:SMARCA4:SUZ12
Complex_118,BRG1-SIN3A complex_713#BRM-SIN3A complex_714,ACTL6A:PRMT5:RBBP4
Complex_119,BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I_803#BRM-SIN3A-HDAC complex_806,ACTL6A:PRMT5
Complex_120,Bad-Gk-Wave1-Pkaca-Ppp1cc complex_694,BAD:PRKACA:WASF1
Complex_121,Bad-Gk-Wave1-Pkaca-Ppp1cc complex_694,PRKACA:WASF1
Complex_122,Bag6-Ubl4A-Trc35 Complex_6862,BAG6:GET4:UBL4A
Complex_123,Bcar1-Crk-Ptk2-Rapgef1 complex_6918,BCAR1:PTK2:RAPGEF1
Complex_124,Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex_6472,BECN1:PIK3C3:PIK3R4:UVRAG
Complex_125,Bcl2l1-Dnm1l complex_6419,BCL2L1:DNM1L
Complex_126,Beta-catenin-Cadherin-LAR complex_3942,CDH2:CTNNB1:PTPRF
Complex_127,Beta/delta-coat protein subcomplex_3147#Arf1-beta/delta-coat protein subcomplex_3148,ARCN1:COPB1
Complex_128,Bin1-Dnm1-Ehbp1 complex_7280,BIN1
Complex_129,Bin1-Dnm1-Ehbp1 complex_7280,BIN1:DNM1
Complex_130,Binary COG subcomplex_3530,COG5:COG7
Complex_131,Braf-Hras-Map2k1-Mapk3-Rgs14 complex_7138,MAP2K1:MAPK3
Complex_132,Brd4-P-TEFb complex_2608,BRD4:CCNT1:CDK9
Complex_133,Brd4-P-TEFb complex_2608,BRD4:CDK9
Complex_134,Brg1-based SWI/SNF complex_2852,ACTL6A:SMARCB1:SMARCC1:SMARCC2
Complex_135,C-CFTR-NHERF-ezrin complex_682#NHERF1-NPT2A-EZR complex_6791#PDZK1-NHERF1-EZR complex_6793,EZR:SLC9A3R1
Complex_136,C3G-Crkl-Shp2 complex_5166#C3G-Crkl-Shp2-Gab2-TrkA complex_5168,CRKL:PTPN11
Complex_137,C3G-Crkl-Shp2-Cbl-Egfr complex_5167,CBL:CRKL:EGFR:PTPN11:RAPGEF1
Complex_138,CAMK2-delta-MASH1 promoter-coactivator complex_3142,CAMK2D:NONO:POLR2A
Complex_139,CAMK2-delta-MASH1 promoter-coactivator complex_3142,CAMK2D:CREBBP:NONO:POLR2A
Complex_140,CAND1-CUL1-RBX1 complex_219,CAND1:CUL1
Complex_141,CAND1-CUL3-RBX1 complex_222,CAND1:CUL3
Complex_142,CAND1-CUL4A-RBX1 complex_223,CAND1:CUL4A
Complex_143,CAND1-CUL4B-RBX1 complex_224,CAND1:CUL4B
Complex_144,CAP-cbl-flotilin complex_6587,CBL:FLOT1
Complex_145,CAPG-PRMT5 complex_7410,CAPG:PRMT5
Complex_146,CAPG-PRMT5 complex_7410,CAPG
Complex_147,CAPN1-HSP90AB1 complex_6706,CAPN1:HSP90AB1
Complex_148,CAPZalpha-CAPZbeta complex_6483#WASH-CAPZalpa/beta complex_6484,CAPZA1:CAPZB
Complex_149,CART complex_6083,ACTN4:HGS
Complex_150,CAS-SRC-FAK complex_5282#FAK\u2013p130Cas\u2013MT1 complex_6921,BCAR1:PTK2
Complex_151,CASP8-CHUK-IKBKB-MALT1-BCL10 complex_2055,CASP8:CHUK:IKBKB
Complex_152,CASP8-CHUK-IKBKB-MALT1-BCL10 complex_2055,BCL10:CASP8:CHUK:IKBKB:MALT1
Complex_153,CBF-DNA complex_4478,NFYB:NFYC
Complex_154,CBX3-EHMT2-NR3C1 complex_6863#CBX3-EHMT1-NR3C1 complex_6864,CBX3
Complex_155,CBX3-EHMT2-NR3C1 complex_6863#CBX3-EHMT1-NR3C1 complex_6864,CBX3:NR3C1
Complex_156,"CCC-Wash (WASH1, FAM21C) complex_6639#CCC complex_6645",C16ORF62:CCDC22:CCDC93:COMMD10:COMMD3:COMMD4:COMMD5:COMMD6:COMMD7:COMMD8:COMMD9
Complex_157,CCDC22-COMMD8-CUL1 complex_6658,CCDC22:COMMD8:CUL1
Complex_158,CCDC93-COMMD1-COMMD6 complex_7133,CCDC93:COMMD6
Complex_159,CCNB2-CDC2 complex_5542,CCNB2:CDK1
Complex_160,"CCT complex (chaperonin containing TCP1 complex), testis specific_150",CCT2:CCT3:CCT4:CCT5:CCT7:CCT8:TCP1
Complex_161,"CCT complex (chaperonin containing TCP1 complex), testis specific_3072",CCT2:CCT3:CCT4:CCT5:CCT7:CCT8:TCP1
Complex_162,CCT complex (chaperonin containing TCP1 complex)_126,CCT2:CCT3:CCT4:CCT5:CCT6A:CCT7:CCT8:TCP1
Complex_163,CCT complex (chaperonin containing TCP1 complex)_52,CCT2:CCT3:CCT4:CCT5:CCT6A:CCT7:CCT8:TCP1
Complex_164,CCT-Pdcl complex_3439,CCT2:CCT3:CCT4:CCT5:CCT6A:CCT7:CCT8:PDCL:TCP1
Complex_165,"CCT-Prefoldin complex, testis specific_3074",CCT2:CCT3:CCT4:CCT5:CCT7:CCT8:PFDN1:PFDN2:PFDN4:PFDN5:PFDN6:TCP1:VBP1
Complex_166,CCT-Prefoldin complex_145,CCT2:CCT3:CCT4:CCT5:CCT6A:CCT7:CCT8:PFDN1:PFDN2:PFDN4:PFDN5:PFDN6:TCP1:VBP1
Complex_167,CD147-gamma-secretase complex_142,BSG:NCSTN
Complex_168,CD2AP-CDH3-CTNND1-NPHS1 complex_2562#Cd2ap-Cdh3-Ctnnd1-Nphs1 complex_2883,CD2AP:CTNND1
Complex_169,CD2AP-CTNND1-NPHS1-TJP1 complex_2560,CD2AP:CTNND1:TJP1
Complex_170,CD44-ERK1-ERK2-RHAMM complex_7504,CD44:MAPK1
Complex_171,CD44-LRP1 complex_7535,CD44:LRP1
Complex_172,CD98-LAT2-ITGB1 complex_2390,ITGB1:SLC3A2
Complex_173,CDC2-CCNA2 complex_5557,CCNA2:CDK1
Complex_174,CDC2-CCNA2-CDK2 complex_5559,CCNA2:CDK1:CDK2
Complex_175,CDC2-CCNA2-CDK2 complex_5559,CDK1:CDK2
Complex_176,CDC2-PCNA-CCNB1-GADD45A complex_5544#CDC2-PCNA-CCNB1-GADD45B complex_5545#CDC2-PCNA-CCNB1-GADD45G complex_5546,CCNB1:CDK1:PCNA
Complex_177,CDC5L core complex_1182,BCAS2:CDC5L:GCN1:HSPA8:PRPF19
Complex_178,CDC5L core complex_1182,BCAS2:CDC5L:GCN1:HSPA8:PLRG1:PRPF19
Complex_179,CDH4-HDAC2-MTA2-RBBP7-TWIST1 complex_7225,CHD4:HDAC2:MTA2:RBBP7
Complex_180,CDK2-CCNA2 complex_5556#Ccna2-Cdk2 complex_5705,CCNA2:CDK2
Complex_181,CEN complex_929,CBX3:DDB1:HSPA5:HSPA8:NUP93:RACGAP1:SRRT
Complex_182,CENP-A nucleosomal complex_7388,CENPB:HIST1H4A:SSRP1:SUPT16H
Complex_183,CENP-A nucleosomal complex_7388,HIST1H4A:HJURP:RSF1:SSRP1:SUPT16H
Complex_184,CF IIAm complex (Cleavage factor IIAm complex)_1141,CAPRIN1:CPSF3:PTBP1:TJP1:U2AF2
Complex_185,CF IIAm complex (Cleavage factor IIAm complex)_1141,CAPRIN1:CLP1:CPSF3:CPSF6:CPSF7:DHX16:NUDT21:PTBP1:SFPQ:TJP1:U2AF2
Complex_186,CHIP-HSC70-TAU-UBCH5B complex_6037,HSPA8:STUB1
Complex_187,CHTOP-methylosome complex_6858,ERH:PRMT1:PRMT5:WDR77
Complex_188,CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex_5220,AKAP8L:CHUK:IQGAP2:RELA
Complex_189,CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex_5220,CHUK:IQGAP2:RELA
Complex_190,CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex_5230,CHUK:COPB2:IKBKG:NFKB1:NFKB2:RELA:SPAG9:TNIP1
Complex_191,CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex_5230,CHUK:COPB2:IKBKG:NFKB1:NFKB2:NFKBIE:REL:RELA:SPAG9
Complex_192,"CIN85 complex (CIN85, CRK, BCAR1, CBL, PIK3R1, GRB2, SOS1)_2480",BCAR1:CBL:SH3KBP1:SOS1
Complex_193,CLIC4 complex_70,CKB:CLIC4:DNM2:YWHAE:YWHAZ
Complex_194,CLIC5A-EZR-PODXL complex_6783,PODXL
Complex_195,CNOT1-CNOT2-CNOT3 complex_6394,CNOT1:CNOT2:CNOT3
Complex_196,COG complex_162,COG1:COG2:COG3:COG4:COG5:COG6:COG7:COG8
Complex_197,COG1-COG8 subcomplex_3532,COG1:COG8
Complex_198,COG1-COG8-COG2-COG3-COG4 subcomplex_3551,COG1:COG2:COG3:COG4:COG8
Complex_199,COG1-COG8-COG5-COG6-COG7 subcomplex_3552,COG1:COG5:COG6:COG7:COG8
Complex_200,COG2-COG3-COG4 subcomplex_3544,COG2:COG3:COG4
Complex_201,COG5-COG6-COG7 subcomplex_3545,COG5:COG6:COG7
Complex_202,COMMD1-CCDC22-CCDC93-C16orf62 complex_7131#CCDC22-CCDC93-C16orf62 complex_7132#CCDC22-CCDC93-C16orf62-FAM21-WASH1 complex_7135,C16ORF62:CCDC22:CCDC93
Complex_203,COP9 signalosome complex_2173,COPS2:COPS5:COPS8:GPS1
Complex_204,COP9 signalosome complex_2174,COPS2:COPS3:COPS4:COPS5:COPS6:COPS7A:COPS8:GPS1
Complex_205,COPRS-PRMT5-RUNX1-CBFB complex_6852,CBFB:PRMT5
Complex_206,COPRS-PRMT5-RUNX1-CBFB complex_6852,CBFB
Complex_207,CORVET complex_6388,TGFBRAP1:VPS11:VPS16:VPS18:VPS8
Complex_208,CORVET complex_6388,TGFBRAP1:VPS11:VPS16:VPS18:VPS33A
Complex_209,CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L complex_1768,EWSR1:ITCH:UBAP2L
Complex_210,CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L complex_1768,CPSF6:EWSR1:NUDT21:POLR2A
Complex_211,CPSF6-ITCH-NUDT21-POLR2A-UBAP2L complex_1767#CPSF6-ITCH-NUDT21-POLR2A complex_1769,ITCH
Complex_212,CPSF6-ITCH-NUDT21-POLR2A-UBAP2L complex_1767#CPSF6-ITCH-NUDT21-POLR2A complex_1769,CPSF6:NUDT21:POLR2A
Complex_213,CRBN-DDB1-CUL4A-RBX1 E3 ubiquitin ligase_6875,CRBN:CUL4A:DDB1
Complex_214,CRK-BCAR1-DOCK1 complex_2962,CRK
Complex_215,CRKII-C3G complex_5444,CRK
Complex_216,CRM1-RAN-PHAX-CBC complex (cap binding complex)_1176,NCBP1:NCBP2:PHAX:RAN:XPO1
Complex_217,"CRMP-MICAL-PlexinA1 complex, induced by SEMA3A_5762",CRMP1:MICAL1
Complex_218,"CRMP-MICAL-PlexinA1 complex, induced by SEMA3A_5762",CRMP1:MICAL1:PLXNA1
Complex_219,CRSP complex_284#ARC-L complex_287#ARC complex_288#CRSP-Mediator 2 complex_910,MED15
Complex_220,CS-MAP3K7IP1-MAP3K7IP2 complex_5215,CS:TAB1
Complex_221,CSA complex_727,COPS2:COPS3:COPS4:COPS5:COPS6:COPS7A:COPS8:CUL4A:DDB1:GPS1
Complex_222,CSA-POLIIa complex_728,COPS2:COPS3:COPS4:COPS5:COPS6:COPS7A:COPS8:CUL4A:DDB1:GPS1:POLR2A
Complex_223,CTLH complex_3071,ARMC8:MAEA:MKLN1:RANBP9:RMND5A
Complex_224,CTNNB1-DDX5-HDGF complex_7318,CTNNB1:DDX5
Complex_225,CTNNB1-DDX5-HDGF complex_7318,CTNNB1:DDX5:HDGF
Complex_226,CTNNB1-EPCAM-FHL2-LEF1 complex_7534,CTNNB1:FHL2
Complex_227,CTNNB1-FERMT2-TCF7L2 complex_6907,CTNNB1:FERMT2
Complex_228,CTNNB1-FERMT2-YBX1 complex_6908,CTNNB1:FERMT2:YBX1
Complex_229,CTNNB1-TBX5-YAP1 complex_6655,CTNNB1
Complex_230,CTNNB1-TBX5-YAP1 complex_6655,CTNNB1:YAP1
Complex_231,CTTN-FER-PTK2 complex_6916,CTTN:FER:PTK2
Complex_232,CUL4A-DDB1-DTL complex_6486,CUL4A:DDB1:DTL
Complex_233,CUL4A-DDB1-WDR5 complex_6489,CUL4A:DDB1:WDR5
