ComplexID,ComplexName,Organism,Subunits_UniProt_IDs,GO description
118,GPI-GnT activity complex,Human,"P37287,Q14442,Q92535,Q9BRB3",phospholipid metabolic process;phospholipid biosynthetic process;phospholipid catabolic process;endoplasmic reticulum
120,Lymphotoxin beta receptor complex,Human,"P01374,P36941,Q06643",cell surface receptor signaling pathway;apoptotic process
123,Rnase/Mrp complex,Human,"O75817,O75818,O95059,O95707,P78345,P78346,Q969H6,Q99575,Q9BUL9,Q9H633",RNA catabolic process;rRNA processing;RNA binding;nucleus
124,RGS9-GNB5-GNAT1-R9AP complex,Bovine,"A5PJS1,O46469,P04695,Q8MJG0",G-protein coupled receptor signaling pathway;detection of light stimulus;response to light stimulus;plasma membrane
126,CCT complex (chaperonin containing TCP1 complex),Human,"P17987,P40227,P48643,P49368,P50990,P50991,P78371,Q99832",protein stabilization;protein folding;ATP binding;cytoplasm
127,NDC80 kinetochore complex,Human,"O14777,Q8NBT2,Q9BZD4,Q9HBM1","mitotic cell cycle;chromosome segregation;chromosome, centromeric region"
129,PIDDsome complex,Human,"P42575,P78560,Q9HB75",activation of cysteine-type endopeptidase activity involved in apoptotic process;apoptotic process
136,Troponin complex,Rabbit,"P02586,P02641,P02643",calcium ion binding;muscle contraction;muscle organ development;actin cytoskeleton
139,SDH-mABC1-PIC-ANT-ATPase complex,Rat,"P15999,P16036,P21913,Q05962,Q5RKI8,Q920L2",cation transmembrane transporter activity;cation transport;ion channel activity;mitochondrial inner membrane
140,E-box sequence-binding complex,Human,"P25791,Q02577,Q86U70,Q9BXY8","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;neurogenesis;generation of neurons;nucleus"
142,CD147-gamma-secretase complex,Human,"P35613,P49768,Q92542,Q96BI3,Q9NZ42",protein processing;signaling;plasma membrane;Golgi apparatus
143,APP-APBB1-LRP1 complex,Human,"O00213,P05067,Q07954",protein processing
144,Gamma-BAR-AP1 complex,Human,"O43747,O75843,P56377,P61966,Q10567,Q63HQ0,Q96PC3,Q9BXS5,Q9Y6Q5",intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;membrane budding;vesicle organization;endocytosis;transport vesicle
145,CCT-Prefoldin complex,Mammalia,"O15212,O60925,P61758,Q2NKZ1,Q2T9X2,Q32L40,Q3MHL7,Q3T0K2,Q3T115,Q3ZBH0,Q3ZCI9,Q99471,Q9NQP4,Q9UHV9",protein stabilization;protein folding;protein binding
146,Src-dynamin-synapsin complex,Mouse,"O88935,P05480,P39053",synaptic vesicle exocytosis
148,Src-dynamin-synapsin-alpha-adaptin complex,Rat,"P09951,P18484,P21575,Q9WUD9",synaptic vesicle transport;synaptic vesicle exocytosis
149,PBAF complex (Polybromo- and BAF containing complex),Human,"O96019,P51532,P60709,Q12824,Q68CP9,Q86U86,Q8TAQ2,Q92922,Q969G3,Q96GM5",
150,"CCT complex (chaperonin containing TCP1 complex), testis specific",Bovine,"Q2NKZ1,Q2T9X2,Q32L40,Q3T084,Q3T0K2,Q3T115,Q3ZBH0,Q3ZCI9",protein stabilization;protein folding;protein binding;ATP binding;cytoplasm
152,TFIIE complex,Human,"P29083,P29084","DNA-templated transcription, initiation;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus"
153,TFIIF complex (transcription factor IIF),Human,"P13984,P35269","DNA-templated transcription, initiation;magnesium ion binding;ATP binding;nucleus"
154,Src1-Ep300-Crebbp complex,Mouse,"P45481,P70365,Q8BJ14","positive regulation of transcription, DNA-templated;receptor regulator activity;signaling"
156,Retrotranslocation complex,Human,"P57678,Q86TM6,Q9BUN8",protein transport;protein transporter activity
158,ATP synthasome,Rat,"P05504,P10719,P11608,P15999,P16036,P19511,P21571,P29418,P29419,P31399,P35434,P35435,Q06645,Q06646,Q06647,Q09073,Q71S46",mitochondrial ATP synthesis coupled proton transport
159,Condensin I-PARP-1-XRCC1 complex,Human,"O95347,P09874,P18887,Q15003,Q15021,Q9BPX3,Q9NTJ3",DNA repair;cellular response to DNA damage stimulus;nucleus
160,Condensin II,Human,"O95347,P42695,Q6IBW4,Q86XI2,Q9NTJ3",mitotic cell cycle;chromosome condensation;chromosome organization;nucleus
161,SWAP complex,Mouse,"P09405,P11103,Q61937,Q6A028",mitotic recombination;B cell mediated immunity;nucleus
162,COG complex,Human,"P83436,Q14746,Q8WTW3,Q96JB2,Q96MW5,Q9H9E3,Q9UP83,Q9Y2V7",protein glycosylation;Golgi organization;Golgi apparatus
165,Cohesin-SA1 complex,Human,"O60216,Q14683,Q8WVM7,Q9UQE7",M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome
166,Cohesin-SA2 complex,Human,"O60216,Q14683,Q8N3U4,Q9UQE7",M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome
168,"Protein-sorting complex (Stam2, Hgs, Eps15)",Mouse,"O88811,P42567,Q99LI8",intracellular protein transport;protein targeting;protein transport
169,"Protein-sorting complex (Stam1, Hgs, Eps15)",Mammalia,"P42567,Q92783,Q99LI8",intracellular protein transport;protein targeting;protein transport
170,Ric-8A G(i) alpha-1 subunit complex,Rat,"P10824,Q80ZG1",guanyl-nucleotide exchange factor activity
171,Ric-8A G(i) alpha-2 subunit complex,Rat,"P04897,Q80ZG1",guanyl-nucleotide exchange factor activity
172,Ric-8A G(o) alpha-1 subunit complex,Rat,"P59215,Q80ZG1",
173,MRN complex (MRE11-RAD50-NBN complex),Human,"O60934,P49959,Q92878",DNA catabolic process;DNA repair;cell cycle checkpoint;DNA binding;cellular response to DNA damage stimulus;nucleus
174,Ric-8A G(i) alpha-1 subunit complex,Rat,"P10824,Q80ZG1",guanyl-nucleotide exchange factor activity
175,Ric-8A G(q) alpha subunit complex,Rat,"P82471,Q80ZG1",guanyl-nucleotide exchange factor activity
176,Ric-8A G alpha 13 complex,Rat,"Q6Q7Y5,Q80ZG1",guanyl-nucleotide exchange factor activity
177,OGT-TRAK1-TRAK2 complex,Human,"O15294,O60296,Q9UPV9",protein hydroxylation;protein methylation;gamma-aminobutyric acid signaling pathway
178,"Respiratory chain complex I (holoenzyme), mitochondrial",Human,"O00217,O00483,O14561,O15239,O43181,O43674,O43676,O43677,O43678,O43920,O75251,O75306,O75380,O75438,O75489,O95139,O95167,O95168,O95169,O95178,O95182,O95298,O95299,O96000,P03886,P03891,P03897,P03901,P03915,P03923,P17568,P19404,P28331,P49821,P51970,P56181,P56556,Q16718,Q16795,Q86Y39,Q9NX14,Q9P0J0,Q9UI09,Q9Y6M9",hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane;oxidative phosphorylation;aerobic respiration
179,Nephrin multiprotein complex,Rat,"B5DFH1,O88382,P16086,Q62915,Q9R044,Q9WUX0,Q9Z1P2",single organismal cell-cell adhesion;cell-cell junction assembly;cell differentiation
180,PNUTS-PP1 complex,Human,"P62136,Q96QC0",enzyme inhibitor activity
181,26S proteasome,Human,"O14818,P17980,P20618,P25786,P25787,P25788,P25789,P28066,P28070,P28072,P28074,P35998,P43686,P49720,P49721,P55036,P60900,P62191,P62195,P62333,Q99436,Q9UNM6",proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;response to stress;cytoplasm;nucleus
182,Synaptotagmin-sodium channel complex (Syt1-Scn1a-Scn1b),Rat,"P04774,P21707,Q00954",cation transmembrane transporter activity;cation transport;ion channel activity;exocytosis;response to stimulus;plasma membrane
183,Synaptotagmin-sodium channel complex (Syt2-Scn1a-Scn1b),Rat,"P04774,P29101,Q00954",cation transmembrane transporter activity;cation transport;ion channel activity;exocytosis;response to stimulus;plasma membrane
184,Synaptotagmin-sodium channel complex  (Syt1-Scn2a-Scn1b),Rat,"P04775,P21707,Q00954",cation transmembrane transporter activity;cation transport;ion channel activity;exocytosis;response to stimulus;plasma membrane
185,Synaptotagmin-sodium channel complex (Syt2-Scn2a-Scn1b),Rat,"P04775,P29101,Q00954",cation transmembrane transporter activity;cation transport;ion channel activity;exocytosis;response to stimulus;plasma membrane
186,Wave-2 complex,Human,"Q7L576,Q8IZP0,Q8WUW1,Q9Y2A7,Q9Y6W5",small GTPase mediated signal transduction;cell migration;actin cytoskeleton organization;actin cytoskeleton
187,Wave-2 complex (Rac-activated),Mouse,"P28660,Q7TMB8,Q8BH43,Q8BPG5,Q8CBW3",small GTPase mediated signal transduction;movement of cell or subcellular component;actin cytoskeleton organization;actin cytoskeleton
188,Wave-2 complex,Mouse,"P28660,Q7TMB8,Q8BH43,Q8CBW3",small GTPase mediated signal transduction;movement of cell or subcellular component;actin cytoskeleton organization;actin cytoskeleton
189,BAF complex,Human,"O14497,O94805,O96019,P51531,P51532,P60709,P63261,Q12824,Q8NFD5,Q8TAQ2,Q92922,Q969G3,Q96GM5","DNA topological change;positive regulation of transcription, DNA-templated;DNA binding;chromosome organization;nucleus"
190,Mitotic checkpoint complex (MCC),Human,"O43684,O60566,Q12834,Q13257",cell cycle checkpoint
191,20S proteasome,Human,"O14818,P20618,P25786,P25787,P25788,P25789,P28066,P28070,P28072,P28074,P49720,P49721,P60900,Q99436",protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus
192,PA28-20S proteasome,Human,"O14818,P20618,P25786,P25787,P25788,P25789,P28066,P28070,P28072,P28074,P49720,P49721,P60900,Q06323,Q99436,Q9UL46",protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus
193,PA700-20S-PA28 complex,Human,"O00231,O00232,O00233,O00487,O14818,O43242,O75832,P17980,P20618,P25786,P25787,P25788,P25789,P28066,P28070,P28072,P28074,P35998,P43686,P48556,P49720,P49721,P51665,P55036,P60900,P62191,P62195,P62333,Q06323,Q13200,Q15008,Q16401,Q99436,Q99460,Q9UL46,Q9UNM6",proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity
194,PA28gamma-20S proteasome,Human,"O14818,P20618,P25786,P25787,P25788,P25789,P28066,P28070,P28072,P28074,P49720,P49721,P60900,P61289,Q99436",protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus
195,"Ubiquitin E3 ligase (Lrrc41, Tceb1, Tceb2, Cul5, Rbx1)",Rat,"P62870,P83941,Q498D8,Q5M9H1,Q9JJ31",protein ubiquitination;ubiquitin-dependent protein catabolic process
196,"Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul5, Rbx1)",Rat,"P62870,P83941,Q498D8,Q64259,Q9JJ31",protein ubiquitination;ubiquitin-dependent protein catabolic process
198,"Ubiquitin E3 ligase (Tceb1, Tceb2, Tceb3, Cul5, Rbx1)",Rat,"P62870,P83941,Q498D8,Q63187,Q9JJ31",protein ubiquitination;ubiquitin-dependent protein catabolic process
199,"Ubiquitin E3 ligase (Socs1, Tceb1, Tceb2, Cul5, Rbx1)",Rat,"P62870,P83941,Q498D8,Q9JJ31,Q9QX78",protein ubiquitination;ubiquitin-dependent protein catabolic process
200,"Ubiquitin E3 ligase (Wsb1, Tceb1, Tceb2, Cul5, Rbx1)",Rat,"P62870,P83941,Q498D8,Q4KM78,Q9JJ31",protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;smoothened signaling pathway;endoplasmic reticulum
201,HUIC complex,Human,"P38398,Q99728",cell cycle arrest;cell cycle checkpoint;nucleus
203,"Ubiquitin E3 ligase (Med8, Tceb1, Tceb2, Cul2, Rbx1)",Rat,"A0A0G2K761,D3ZM37,P62870,P83941,Q498D8",protein ubiquitination;protein binding;nucleus;ubiquitin-dependent protein catabolic process
204,"Ubiquitin E3 ligase (Asb2, Tceb1, Tceb2, Cul5, Rbx1)",Rat,"P62870,P83941,Q498D8,Q5U2S6,Q9JJ31",protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process
205,"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)",Human,"P40337,P62877,Q13617,Q15369,Q15370",protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process
207,"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)",Human,"Q15369,Q15370,Q93034,Q96Q27,Q9UBF6",protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process
208,"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)",Human,"Q15369,Q15370,Q93034,Q9UBF6,Q9Y576",protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process
209,"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)",Human,"Q15369,Q15370,Q93034,Q9NWX5,Q9UBF6",protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process
210,"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)",Human,"Q15369,Q15370,Q93034,Q9H672,Q9UBF6",protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process
211,"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)",Human,"Q15369,Q15370,Q8WXK4,Q93034,Q9UBF6",protein ubiquitination;protein binding;ubiquitin-dependent protein catabolic process
213,DNA ligase IV-XRCC1 complex,Human,"P18887,P49917",DNA repair;nucleus
214,"Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)",Human,"P62877,Q15369,Q15370,Q93034,Q9Y6I7",protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;smoothened signaling pathway;endoplasmic reticulum
216,PDZK1-NaPiIIa-MAP17 complex,Mouse,"Q60825,Q9CQH0,Q9JIL4",ion transport
219,CAND1-CUL1-RBX1 complex,Human,"P62877,Q13616,Q86VP6",protein binding;SCF complex assembly;negative regulation of ubiquitin-protein transferase activity
220,ARF-Mule complex,Human,"P06748,Q7Z6Z7,Q8N726",protein binding;nucleus
221,CAND1-CUL2-RBX1 complex,Human,"P62877,Q13617,Q86VP6",SCF complex assembly;negative regulation of ubiquitin-protein transferase activity
